Source_ID,Target_ID,Relationship,Weight,Shape
675,676,Trayectoria probable,0.5,cambiante
682,690,Contexto estratégico,0.3,cambiante
682,700,Contexto estratégico,0.3,cambiante
690,691,Trayectoria probable,0.5,cambiante
690,700,Contexto estratégico,0.3,cambiante
693,694,Trayectoria probable,0.5,cambiante
693,695,Trayectoria probable,0.5,cambiante
694,695,Trayectoria probable,0.5,cambiante
696,697,Trayectoria probable,0.5,cambiante
697,698,Trayectoria probable,0.5,cambiante
700,795,Contexto estratégico,0.3,cambiante
707,708,Trayectoria probable,0.5,cambiante
712,713,Trayectoria probable,0.5,cambiante
714,715,Trayectoria probable,0.5,cambiante
725,726,Trayectoria probable,0.5,cambiante
728,729,Trayectoria probable,0.5,cambiante
730,731,Trayectoria probable,0.5,cambiante
733,734,Trayectoria probable,0.5,cambiante
746,747,Trayectoria probable,0.5,cambiante
749,750,Trayectoria probable,0.5,cambiante
749,751,Trayectoria probable,0.5,cambiante
750,751,Trayectoria probable,0.5,cambiante
751,752,Trayectoria probable,0.5,cambiante
760,761,Trayectoria probable,0.5,cambiante
761,762,Trayectoria probable,0.5,cambiante
762,763,Trayectoria probable,0.5,cambiante
763,764,Trayectoria probable,0.5,cambiante
764,765,Trayectoria probable,0.5,cambiante
765,766,Trayectoria probable,0.5,cambiante
768,769,Trayectoria probable,0.5,cambiante
768,770,Trayectoria probable,0.5,cambiante
769,770,Trayectoria probable,0.5,cambiante
783,784,Trayectoria probable,0.5,cambiante
783,785,Trayectoria probable,0.5,cambiante
783,786,Trayectoria probable,0.5,cambiante
784,785,Trayectoria probable,0.5,cambiante
784,786,Trayectoria probable,0.5,cambiante
785,786,Trayectoria probable,0.5,cambiante
786,787,Trayectoria probable,0.5,cambiante
788,789,Trayectoria probable,0.5,cambiante
788,790,Trayectoria probable,0.5,cambiante
789,790,Trayectoria probable,0.5,cambiante
789,791,Trayectoria probable,0.5,cambiante
790,791,Trayectoria probable,0.5,cambiante
792,793,Trayectoria probable,0.5,cambiante
795,842,Contexto estratégico,0.3,cambiante
808,809,Trayectoria probable,0.5,cambiante
808,810,Trayectoria probable,0.5,cambiante
809,810,Trayectoria probable,0.5,cambiante
810,811,Trayectoria probable,0.5,cambiante
810,812,Trayectoria probable,0.5,cambiante
810,813,Trayectoria probable,0.5,cambiante
811,812,Trayectoria probable,0.5,cambiante
811,813,Trayectoria probable,0.5,cambiante
811,814,Trayectoria probable,0.5,cambiante
812,813,Trayectoria probable,0.5,cambiante
812,814,Trayectoria probable,0.5,cambiante
813,814,Trayectoria probable,0.5,cambiante
814,815,Trayectoria probable,0.5,cambiante
815,816,Trayectoria probable,0.5,cambiante
817,818,Trayectoria probable,0.5,cambiante
817,819,Trayectoria probable,0.5,cambiante
818,819,Trayectoria probable,0.5,cambiante
819,820,Trayectoria probable,0.5,cambiante
